"PREDICATE","TERM","POSITION","EXERCISE"
"hatBezeichnung","radprofi_gmbh",2,14328
"verzeichnis","root",2,12004
"datei","text",2,12004
"verkauf","milch",2,14251
"verkauf","brot",2,14251
"artikel","lebensmittel",2,14258
"kategorie","lebensmittel",1,14258
"hatBezeichnung","mtb_extreme_downhill",2,14333
"datei","text",2,12000
"verzeichnis","root",2,12000
"verzeichnis","root",2,12001
"datei","text",2,12001
"verzeichnis","root",2,12002
"datei","text",2,12002
"verzeichnis","root",2,12003
"datei","text",2,12003
"verzeichnis","root",2,12005
"datei","text",2,12005
