"ID","QUERY","GRADINGS","POINTS"
13043,"let $db := doc('http://etutor.dke.uni-linz.ac.at/etutor/XML?id=2')/db,
    $personen := $db/person,
    $wohnungen := $db/wohnung,
    $mietet := $db/mietet
return for $w in $wohnungen[gross > 50],
           $p in $personen[stand eq 'verheiratet'],
           $m in $mietet[(@mieternr eq $p/@nr) and (@wohnnr eq $w/@nr)]
       order by $w/@nr
       return <NichtSingleWohnung>{$w/@nr}{$p/name}{$w/gross}</NichtSingleWohnung>",,1
14316,"let $d := doc('http://etutor.dke.uni-linz.ac.at/etutor/XML?id=5001')/Bilanzen
let $b02 := $d/Bilanz[@jahr=2002]
let $b03 := $d/Bilanz[@jahr=2003]

for $p02 in $b02/Aktiva//*, $p03 in $b03/Aktiva//*
where local-name($p02)=local-name($p03) and not(empty($p02/*)) and not(empty($p03/*))
return  <position name=""{node-name($p02)}"">
        {
        for $v in $p02//*[@summe], $w in $p03//*[@summe]
        let $s02 := data($v/@summe)
        let $s03 := data($w/@summe)
        where local-name($v)=local-name($w)
        return <position name=""{node-name($v)}""> { 
		(
                  <j2002>{$s02}</j2002>,
                  <j2003>{$s03}</j2003>,
                  <diff>{$s03 - $s02}</diff>
                )
                }
              </position>
        }
	</position>
",,1
13053,"let $hk := doc('http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1')/handelskette
return <filialenLinz>
  {for $f in $hk/filialen/filiale[plz eq ""4040""]
   return <filiale>{$f/inhName, $f/strasse, $f/plz}</filiale>}
</filialenLinz>",,1
13059,"let $hk := doc('http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1')/handelskette
for $k in $hk/kunden/kunde
let $linzFil := $hk/filialen/filiale[plz = ""4040""]
where empty($hk/rechnungen/rechnung[kundeNr = $k/@kundeNr and filNr = $linzFil/@filNr])
order by $k/name
return $k",,1
13044,"let $db := doc('http://etutor.dke.uni-linz.ac.at/etutor/XML?id=2')/db, 
    $personen := $db/person, $wohnungen := $db/wohnung,
    $mietet := $db/mietet
return for $b in distinct-values($wohnungen/bezirk)
       where empty(
          for $w in $wohnungen[bezirk eq $b]
          where empty($mietet[(@wohnnr eq $w/@nr) and
                              (bis eq ""31.12.2099"")])
          return $w)
       order by $b
       return <Bezirk>{$b}</Bezirk>",,1
13060,"let $hk := doc('http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1')/handelskette
for $fil in $hk/filialen/filiale
let $katFil := (
    let $prod := $fil/sortiment/prodInSortiment
    for $prodK in distinct-values($hk/produkte/produkt[@ean = $prod/ean]/kategorie)
    return ($prodK))
let $prods := $hk/produkte/produkt
where every $kat in distinct-values($prods/kategorie)
    satisfies (some $k in $katFil satisfies $k = $kat)
return <filiale filialeNr=""{$fil/@filNr}""> {
    for $kateg in distinct-values($prods/kategorie)
    return <prodGruppe val=""{$kateg}""> {
        for $allePrInKat in $hk/produkte/produkt[kategorie = $kateg]/@ean
        for $p2 in $fil/sortiment/prodInSortiment
        where data($p2/ean) = $allePrInKat
        return $p2/ean }
    </prodGruppe> }
</filiale>",,1
13054,"let $hk := doc('http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1')/handelskette
for $billigprodukt in $hk/produkte/produkt[ekPreis < 100]
let $f := $hk/filialen/filiale[sortiment/prodInSortiment/ean = $billigprodukt/@ean]
let $bestand := $f/sortiment/prodInSortiment[ean = $billigprodukt/@ean]/bestand
let $prodbez := $billigprodukt/bezeichnung
return <bProdukt ekPreis=""{data($billigprodukt/ekPreis)}"">
		 {$prodbez}
		 <dsBestand>{avg($bestand)}</dsBestand>
       </bProdukt>",,1
13055,"let $hk := doc('http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1')/handelskette
for $p in $hk/produkte/produkt
where not(some $pif in $hk/filialen/filiale/sortiment/prodInSortiment satisfies $p/@ean eq $pif/ean)
order by $p/@ean
return $p",,1
13062,"let $hk := doc('http://etutor.dke.uni-linz.ac.at/etutor/XML?id=1')/handelskette
for $f in $hk/filialen/filiale
where some $ps in $f/sortiment/prodInSortiment satisfies 
    $ps/vkPreis < 0.8*$hk/produkte/produkt[@ean eq $ps/ean]/listPreis
return
  <filiale>{$f/@filNr,
    for $ps in $f/sortiment/prodInSortiment
    let $listPreis := $hk/produkte/produkt[@ean eq $ps/ean]/listPreis
    where $ps/vkPreis < 0.8 * $listPreis
    return <produkt ean=""{$ps/ean}"" vkPreis=""{$ps/vkPreis}"" listPreis=""{$listPreis}""/>}
  </filiale>",,1
13045,"let $db := doc('http://etutor.dke.uni-linz.ac.at/etutor/XML?id=2')/db, 
    $personen := $db/person, $wohnungen := $db/wohnung,
    $mietet := $db/mietet
return let $ma := $mietet[bis eq '31.12.2099']
       let $qms := (for $m in $ma, $w in $wohnungen[@nr eq $m/@wohnnr]
                    return ($m/preis div $w/gross))
return
 <mietstatistik>
  <anzahl>{count($ma)}</anzahl>
  <sum-preis>{sum($ma/preis)}</sum-preis>
  <qm-preis>{avg($qms)}</qm-preis>
 </mietstatistik>
",,1
