"HNO","RNO","TYPE","PRICE"
"H001","R101","single",22
"H001","R102","double",39
"H001","R103","double",39
"H001","R201","family",85
"H001","R202","double",44
"H001","R203","family",49
"H002","R101","double",41
"H002","R102","single",25
"H002","R103","family",49
"H002","R201","family",49
"H002","R202","double",41
"H002","R203","double",48
"H003","R101","double",44
"H003","R102","family",55
"H003","R103","family",55
"H003","R201","double",44
"H003","R202","single",28
"H003","R203","double",44
"H004","R101","double",41
"H004","R102","family",49
"H004","R103","family",49
"H004","R201","single",90
"H004","R202","single",24
"H004","R203","double",39
"H005","R101","single",23
"H005","R102","double",35
"H005","R103","double",35
"H005","R201","family",39
"H005","R202","single",23
"H005","R203","single",20
"H006","R101","double",33
"H006","R102","double",37
"H006","R103","family",45
"H006","R201","family",49
"H006","R202","family",39
"H006","R203","family",39
