"NR","POSNR","ARTIKEL","VKPREIS","MENGE"
1,1,"0-666-4567-2-22",58.9,5
2,1,"0-456-4887-3-22",229.9,1
2,2,"2-446-7240-9-15",22500,1
3,1,"5-2671-955-5-55",7000,1
4,1,"6-581-1766-3-45",200,3
5,1,"9-396-7510-9-00",12000,1
5,2,"1-4444-652-8-88",4500,1
6,1,"0-777-4997-2-43",125,3
1,1,"4-1161-730-3-88",500,2
2,1,"5-2671-955-5-55",6800,1
3,1,"9-396-7510-9-00",12900,1
3,2,"3-1111-654-3-99",1600,2
1,1,"5-6661-000-0-00",530,3
1,2,"7-2881-760-3-70",1300,1
1,3,"0-4381-880-7-00",1350,1
2,1,"0-55-48567-16-2",330,2
1,1,"5-6661-000-0-00",500,3
2,1,"6-231-4777-3-15",525,3
2,2,"5-6661-000-0-00",490,5
2,3,"9-396-7510-9-00",14000,1
1,1,"3-1111-654-3-99",1300,2
2,1,"1-256-7700-2-00",2200,1
3,1,"5-6661-000-0-00",380,2
4,1,"0-4381-880-7-00",1100,1
5,1,"4-1161-730-3-88",510,3
6,1,"5-6661-000-0-00",500,2
1,1,"6-581-1766-3-45",150,1
2,1,"5-2671-955-5-55",6900,1
3,1,"6-231-4777-3-15",500,2
1,1,"0-55-48567-16-2",390,5
2,1,"5-6661-000-0-00",450,1
